1,Black & Decker Lithium-ion Smartdriver With Exclusive Magnetic Screw-holder,8,618.72,,
2,Bostitch Industrial Air Tool Plug, 1/4 Npt, Btfp72318,1,862.77
3,Skil 3410-02 10 In. Table Saw With Floor Stand,4,971.41,,
4,Powryte 3/8 Air Drill, 100114a,8,555.43,
5,Stalwart 25-piece 4.8-volt Cordless Screwdriver With Led,9,378.83,,
6,Hitachi 4 Gallon Twin Stack Air Compressor,6,338.6,,
7,Skil 360 Quick-select 4v Max 1.5ah Lithium-ion Screwdriver, 2356-01,8,219.27,
8,Speare Tools Adjustable Speaker-cutter Hole Saw, Ab 1610,3,997.91,
9,Allied Tools 72-piece Rotary Tool Set,8,102.02,,
10,Surebonder Full Size Low Temperature Glue Gun,3,910.49,,
11,Hopkins-f3 Brands 90158 Workbench Kit,1,328.76,,
12,Surebonder Ultra-full Size Dual Temperature Glue Gun,6,637.79,,
13,Bon-aire 12 Volt All In One Compressor In A Bag, Yellow,1,466.99,
14,Dewalt Dcf610s2r Drills / Drivers , Power Tools, N/a,9,910.97
15,Hitachi 18v Lithium-ion Cordless Impact Driver,9,15.02,,
16,Stalwart Flexible Drive Shaft,4,395.73,,
17,Black & Decker Vs Jig Saw, Js515,4,218.24,
18,Wen 6 Waxer/polisher,6,484.59,,
19,Bosch Pr20evsk Colt Variable Speed Palm Router Kit,5,238.8,,
20,Campbell Hausfeld Exteme Duty 3/8 Air Ratchet,5,288.57,,
21,Bernzomatic 019335/ns3 Nickel Silver Brazing Rods,5,86.06,,
22,Labor Saving Devices 60/40 Solder Roll,6,986.58,,
23,Campbell Hausfeld Gravity-feed Spray Gun With Grab N Go Case,9,982.58,,
24,Stalwart Flexible Drive Shaft,4,739.6,,
25,Surebonder Cordless High Temperature Glue Gun,5,170.69,,
26,Powermate 10 Gallon Proforce Oil Free Vertical Air Compressor,6,488.02,,
27,Black & Decker Matrix Impact Driver Head Attachment, Bdcmti,1,557.09,
28,Dremel Workstation, 220-01,6,124.41,
29,Bostitch 1-1/2 Air Pressure Gauge, 1/4 Or 1/8 Npt(m), Btfp72328,8,48.13
30,Skil 7-1/4 24-tooth Carbide Tipped Saw Blade, 75724w,5,770.39,
31,Weller Battery Powered Soldering Iron Kit,9,945.95,,
32,Bostitch Air Regulator And Gauge, Npt, #iregulator,8,184.86
33,Buffalo Tools Pro Series 12 Piece Router Bit Set,3,355.64,,
34,Primefit 17-piece Air Compressor Accessory Kit,8,692.39,,
35,Dremel Sm600 3 Multi-purpose Flush Cut Carbide Wheel,9,196.44,,
36,Worx Semi Automatic Sd Driver, Wx254l,5,444.35,
37,Hanson #8 Torx Bit,8,114.64,,
38,Hitachi 4 1/2 5 Amp Angle Grinder,5,311.64,,
39,Crawford Storehorse Folding Sawhorse,9,364,,
40,Dremel Ez Lock Starter Kit,256.78,,,
41,Pro-lift W-1010a 10-gallon Air Tank,2,548.87,,
42,Dewalt Power Tools 18 Volt Compact Lithium Ion Drill Driver & Impact Driver Comb,5,644.31,,
43,Wen Wen 10 15 Amp Sliding Compound Miter Saw,1,18.5,,
44,Great Neck Saw 80134 36-piece Rotary Tool Set,7,622.46,,
45,Black And Decker Dwdcd780c2 20v Max Lithium Ion Compact Drill Driver Kit,9,655.57,,
46,Proxxon Engraving Tool,1,445.31,,
47,Speare Tools Adjustable Speaker-cutter Hole Saw, Ab 1610,7,819.8,
48,Bostitch Industrial Air Tool Plug, 1/4 Npt, Btfp72318,6,403.35
49,Stalwart Portable Air Compressor Kit With Light,287.56,,,
50,Black & Decker 41-piece Project Kit With 3.6v Lithium Screwdriver, Ldx120pk,5,891.96,
51,Electric Glue Skillet 7,5,170.78,,
52,Stalwart Mouse Sander Set, Blue, 28pc,3,70.81
53,Black & Decker 20v Max Lithium Drill/driver, Ldx220sb,8,3.99,
54,Hitachi 5/8 Hammer Drill,3,553.9,,
55,Hitachi 200-piece Mini Grinder Accessory Set,5,455.26,,
56,Bostitch 1/4 Universal Air Coupler, Btfp72321,6,618.4,
57,Black & Decker 7750a 4-1/2-inch Small Angle Grinder,447.54,,,
58,Alpha Fry Am13460 Rosin Core Solder And Dispenser,5,532.07,,
59,Primefit Garage Inflator With Air Accessory Kit And Storage Case,2,868.94,,
60,Arrow Fastener Heavy Duty Plier Type Stapler,5,772.73,,
61,Dewalt Power Tools Dws780 12 Inch Double Bevel Sliding Compound Miter Saw,6,505.97,,
62,Multi-temp Hybrid Cordless Glue Gun,7,149.56,,
63,Eclipse 900-230 Flux Bottle Pack - 2-pack,3,351.03,,
64,Hitachi 18v Lithium-ion 1/2 Cordless Hammer Drill,2,135.02,,
65,Stanley Fatmax 12v Cordless Drill, Fmc010lb,1,15.77,
66,Alton 2 Gallon Pancake Air Compressor,8,77.16,,
67,Bosch Power Tools 2 Amp 1/4 Sheet Palm Sander 7292-01,7,624.35,,
68,Lincoln Industrial Grease Gun Cordless With Case,5,386.36,,
69,Crafter Gift Pack-12 Pieces,1,265.73,,
70,Skil 2260-01 18-volt Cordless 3/8-inch Drill/driver Kit,7,276.43,,
71,Skil 2260-01 18-volt Cordless 3/8-inch Drill/driver Kit,7,851.81,,
72,Lincoln Industrial 18 Volt Cordless Grease Gun W/ 2 Batteries,9,189.27,,
73,Dremel Mm20-03 Multi-max Tool Kit,2,58.22,,
74,Fry Technologies Cookson Elect Am33505 50/50 Solder Solid Wire,7,643.08,,
75,Kawasaki 14.4v 20 Piece Cordless Drill Kit In Black,917.04,,,
76,Hitachi Power Tools C12lch 12 Co.mpound Miter Saw With Digital Display And Laser M,8,918.58,,
77,Jewelers Chasing Hammer - 1 Inch Head - Metal Smithing,8,586.11,,
78,Wen 6 Waxer/polisher,7,733.43,,
79,Skil 6277-02 3/8 Corded Drill,3,836.9,,
80,Hitachi 12v Peak 2 Tool Li-ion Drill Combo Kit With Carrying Bag,4,854.26,,
81,Ad Tech Ultimate Strength Mini 8 Glue Sticks, 24 Ct,8,882.97,
82,Century Drill And Tool Reciprocating Saw Blade (set Of 4),456.9,,,
83,Ez Kote A016-0046-0300 Airless Paint Spray 3300 Psi Coupled Femalexfemale,9,313.9,,
84,Vim Products Hbr3 Double Ended 1/4-inch Hex Bit Ratchet,6,969.18,,
85,Cadet 66 Work Surface, Pre-assembled,104.44,,
86,Eclipse 900-015 Helping Hands Soldering Aid,1,117.2,,
87,Hitachi 83-piece Drill And Driver Bit Set,1,936.06,,
88,Eclipse 900-259 Mini Soldering Station,9,944.48,,
89,Bostitch 6 Amp Orbital Jig Saw And Bonus Jig Saw Blade Bundle,5,398.69,,
90,Black & Decker 4.5 Amp Variable Speed Jigsaw, Js515ozr,9,685.1,
91,Ad Tech Hi-temp Mini Size Glue Gun,8,32.26,,
92,Bosch 1006vsr 3/8 Corded Drill,9,545.41,,
93,Rockwell Shopseries 18-volt Cordless Drill/driver Kit,623.56,,,
94,Metabo W8-115qwc Compact Class Professional Series Angle Grinder, 4 1/2 Wheel,4,685.55,
95,Lumberjack Tools Trh1000 1-inch Home Series Tenon Cutter,4,690.74,,
96,Black And Decker 20v Max Lithium Drill And Circular Saw Kit, Bdcd220rs,3,990.5,
97,Dremel 225-01 Flex Shaft,2,668.42,,
98,Hitachi 4 Gallon Twin Stack Air Compressor,8,582.06,,
99,Hitachi 18v Lithium-ion 4 1/2 Angle Grinder (tool Body Only),5,948.68,,
100,Hitachi 3/8 6 Amp Drill With Keyless Chuck,6,446.76,,
