1,Bosch/rotozip/skil 2354-02 4-volt I  X 03 Cordless Screwdriver,6,933.57,,,
2,Ingersoll Rand 244a 1/2-inch Drive Super Duty Impact Wrench,6,15.59,,,
3,Black & Decker 41-piece Project Kit With 3.6v Lithium Screwdriver, Ldx120pk,124.63,,,
4,Dremel Ez Lock Starter Kit,5,29.78,,,
5,Dremel Universal Drywall Jab Saw Blade, Mm435,2,836.34,,
6,Legacy Mfg Mega Power 12v Battery Powered Grease Gun,5,668.98,,,
7,Bernzomatic Aluminum Soldering Rods 019325/al3,8,396.36,,,
8,Buffalo Tools 1500 Watt Heat Gun,7,23.93,,,
9,Black & Decker 9.6v-18v Multi Voltage Fast Charger, Fsmvc,4,236.05,,
10,Campbell Hausfeld 1-1/4 Brad Nails,3,74.56,,,
11,Dewalt Power Tools 18 Volt Compact Lithium Ion Drill Driver & Impact Driver Comb,2,540.3,,,
12,Wagan Emergency Impact Wrench Kit,9,422.57,,,
13,Dremel Two Speed Rotary Tool Kit With 15 Accessories 200-1-15,1,601.47,,,
14,Dual-temp Mini Glue Gun Kit, Red,2,918.84,,
15,Aaa 250psi 6-in-1 Air Compressor,5,239.82,,,
16,Wen 6 Waxer/polisher,2,80.21,,,
17,Warp Brothers Fcp-12 Flex-o-glaze Cleaner And Polisher - 12 Oz.,982.77,,,,
18,Titan Professional Workbench,301.55,,,,
19,Rockwell Rk3440k Versacut Circular Saw Kit,5,88.15,,,
20,Blair 11108-3 11000 Series Rotobroach Cutters - 3/8-inch - 3-pack,7,42.94,,,
21,Hitachi 1 1/2 18-gauge Narrow Crown Finish Stapler,3,951.4,,,
22,Bostitch 6 Amp Orbital Jig Saw, Bte340k,4,407.92,,
23,Mr. Heater Stay A While Deluxe,6,954.54,,,
24,Hitachi 2 18-gauge Finish Brad Nailer,7,827.78,,,
25,California Air Tools 10 Gallon Ultra Quiet And Oil-free 2.0 Hp Steel Tank Air Compressor,5,394.54,,,
26,Rockwell Shopseries 8 Amp Variable Speed Reciprocating Saw Kit,9,928.19,,,
27,Hitachi 200-piece Mini Grinder Accessory Set,5,771.51,,,
28,Ingersoll Rand 1/2 Air Impact Wrench 231ha,6,78.04,,,
