1,Fidelity National Financial,1740 Haskins,Bakersfield,93799,California,978 598 6175
2,Country Financial,1791 Huron,Kansas City,66029,Kansas,631 504 5523
3,Analog Devices,1913 Drexel,Memphis,38166,Tennessee,779 813 6653
4,M&t Bank Corporation,1888 Sanford,Henderson,89000,Nevada,630 892 2197
5,Comericaorporated,7017 Railroad,Milwaukee,53700,Wisconsin,412 444 2219
6,Lorillard,170 Cornelia,Seattle,98573,Washington,561 245 0687
7,The Hartford Financial Services Group,1974 Rainey,Peoria,85316,Arizona,539 890 6357
8,Cms Energy,3086 Midway Airport Lower,Salem,97376,Oregon,231 722 8996
9,Plains All American Pipeline,4834 Dan Ryan Ob Eisenhower Ob,Evansville,47772,Indiana,585 419 8726
10,Unified Grocers,1864 Foreman,Madison,53511,Wisconsin,262 495 1546
11,Inergy,9764 Virginia,Norman,73051,Oklahoma,312 369 6619
12,M&t Bank Corporation,9059 Gilbert,Anchorage,99890,Alaska,419 721 4260
13,Systemax,8803 Eisenhower Ashland Av,Fargo,58076,North Dakota,870 216 3493
14,Dst Systems,6385 Ib Dan Ryan,Bakersfield,93986,California,903 297 8881
15,Berkshire Hathaway,3976 Longwood,Peoria,61543,Illinois,985 579 1804
16,Fluor Corporation,1307 Stony Island Ext,Allentown,18142,Pennsylvania,970 680 0732
17,Baker Hughesorporated,8697 Randolph Sub,Tulsa,74934,Oklahoma,848 262 0004
18,Comericaorporated,82 Field,Grand Rapids,49520,Michigan,239 770 8570
19,Family Dollar Stores,2932 Mautene,Oakland,94829,California,972 442 3928
20,First Horizon National Corporation,944 Promontory,Newark,7153,New Jersey,563 455 1356
21,Diversey,7386 Wrightwood,Sacramento,95166,California,712 103 1263
22,Honeywell International,4487 Willard,Surprise,85332,Arizona,818 341 2147
23,Occidental Petroleum Corporation,930 Kennedy Cumberland Av,Tampa,33953,Florida,609 316 6147
24,The Kroger Co,3688 Quincy,Raleigh,27677,North Carolina,239 255 0736
25,Franklin Templeton Investments,4167 Ib Eisenhower Ob Dan Ryan,Fort Collins,80565,Colorado,956 711 2152
26,Collective Brands,4071 Stevenson 31st St,Paterson,7501,New Jersey,440 420 6088
27,International Gaming Technology,2111 St Georges,Oakland,94914,California,720 172 3079
28,Fluor Corporation,7630 84th,St. Petersburg,33798,Florida,858 667 2485
29,We Energies,7882 Old Lake Shore,Sioux Falls,57022,South Dakota,352 442 5325
30,Reader's Digest Association,9682 Keeler,Phoenix,85488,Arizona,313 211 7731
31,Enersys,1307 Michigan,Mobile,36660,Alabama,470 254 5108
32,Oceaneering International,8560 Coles,Henderson,89016,Nevada,941 286 9795
33,Helmerich & Payne,4109 Frontenac,San Bernardino,92308,California,202 898 8368
34,Snap-on Tools,2244 Coyle,Colorado Springs,80356,Colorado,856 407 3915
35,Vishay Intertechnology,4299 Olcott,Alexandria,22287,Virginia,210 441 2500
36,The Walt Disney Company,7699 Fuller,Winston-salem,27134,North Carolina,661 180 9755
37,Beckman Coulter,4983 Newark,Milwaukee,53866,Wisconsin,385 765 1707
38,United States Steel Corporation,320 Lill,Kansas City,66494,Missouri,432 906 6687
39,General Cable Corporation,8620 Benton,Joliet,60491,Illinois,336 893 6621
40,Cenveo,7499 West Drive Of Oakley,Hialeah,33094,Florida,620 239 8908
41,Ingram Micro,2201 Wrightwood,Corpus Christi,78911,Texas,980 202 4934
42,Hologic,9583 Orchard,Fayetteville,72784,North Carolina,408 836 2781
43,Fifth Third Bancorp,8043 Pensacola,Gilbert,85263,Arizona,231 888 6017
44,Oil States International,2125 Michigan,Lexington,405508,Kentucky,847 443 8932
45,Inergy,1287 Jerome,Overland Park,66238,Kansas,713 586 2508
46,Nationwide Insurance Company,9948 Nicolet,Overland Park,66299,Kansas,574 958 7173
47,Dyncorp International,78 Sullivan,Hampton,23679,Virginia,386 208 8450
48,Oceaneering International,7533 Byron,Austin,78965,Texas,410 418 0459
49,Cooper-standard Automotive Group,9062 Dan Ryan Eisenhower,Olathe,66078,Kansas,816 284 1298
50,Time Warner Business Class,5779 Morgan,Anchorage,99817,Alaska,715 435 9518
51,Healthspring,401 Meyer,St. Louis,63865,Missouri,901 931 2478
52,Time Warner Cable,6473 Oak,Springfield,65723,Missouri,714 733 2928
53,The Washington Post Company,4679 Winneconna,Murfreesboro,37196,Tennessee,786 800 4197
54,Ambac Financial Group,829 Chicago Skyway,Bridgeport,6669,Connecticut,831 113 5269
