Date: Wed Jan 02 00:00:00 PST 1980, Total Sales: 1
Date: Thu Jan 03 00:00:00 PST 1980, Total Sales: 2
Date: Fri Jan 18 00:00:00 PST 1980, Total Sales: 1
Date: Tue Jan 22 00:00:00 PST 1980, Total Sales: 1
Date: Thu Jan 24 00:00:00 PST 1980, Total Sales: 1
Date: Thu Jan 31 00:00:00 PST 1980, Total Sales: 1
Date: Sun Feb 03 00:00:00 PST 1980, Total Sales: 1
Date: Sun Feb 17 00:00:00 PST 1980, Total Sales: 2
Date: Mon Feb 18 00:00:00 PST 1980, Total Sales: 2
Date: Mon Mar 03 00:00:00 PST 1980, Total Sales: 1
Date: Tue Mar 04 00:00:00 PST 1980, Total Sales: 1
Date: Wed Mar 05 00:00:00 PST 1980, Total Sales: 1
Date: Sat Mar 15 00:00:00 PST 1980, Total Sales: 1
Date: Sun Mar 30 00:00:00 PST 1980, Total Sales: 1
Date: Thu Apr 10 00:00:00 PST 1980, Total Sales: 1
Date: Mon Apr 14 00:00:00 PST 1980, Total Sales: 1
Date: Fri Apr 18 00:00:00 PST 1980, Total Sales: 1
Date: Mon Apr 21 00:00:00 PST 1980, Total Sales: 1
Date: Thu May 01 00:00:00 PDT 1980, Total Sales: 1
Date: Sat May 03 00:00:00 PDT 1980, Total Sales: 1
Date: Thu May 08 00:00:00 PDT 1980, Total Sales: 1
Date: Tue May 13 00:00:00 PDT 1980, Total Sales: 2
Date: Fri May 16 00:00:00 PDT 1980, Total Sales: 1
Date: Fri May 23 00:00:00 PDT 1980, Total Sales: 1
Date: Wed May 28 00:00:00 PDT 1980, Total Sales: 1
Date: Thu May 29 00:00:00 PDT 1980, Total Sales: 1
Date: Sun Jun 01 00:00:00 PDT 1980, Total Sales: 1
Date: Mon Jun 02 00:00:00 PDT 1980, Total Sales: 1
Date: Wed Jun 04 00:00:00 PDT 1980, Total Sales: 1
Date: Sun Jun 08 00:00:00 PDT 1980, Total Sales: 1
Date: Fri Jun 13 00:00:00 PDT 1980, Total Sales: 2
